,header.normalizedJobTitle,gaTrackerData.sector,map.employerName,new_location,reviews.val.reviewerDuration,reviews.val.reviewerInformation,overview.revenue,overview.size,salary.salaries,reviews.val.reviewRatings.careerOpportunities,reviews.val.reviewRatings.compBenefits,reviews.val.reviewRatings.cultureValues,reviews.val.reviewRatings.overall,reviews.val.reviewRatings.seniorManagement,reviews.val.reviewRatings.worklifeBalance,reviews.val.summaryPoints.ceoApproval,rating.starRating
10,Assistant data analyst,Media,CANAL+,France,for less than a year,Former Employee,7500000000,7501,14029.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,3.4
11,Assistant data analyst,Finance,BNP Paribas,France,for less than a year,Current Employee,7500000000,10000,144819.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.5
12,Assistant data analyst,Media,SeLoger,France,for more than a year,Former Employee,300000000,751,24617.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.3
13,Assistant data analyst,Finance,BNP Paribas,France,for less than a year,Former Employee,7500000000,10000,24659.0,3.0,4.0,1.0,2.0,2.0,5.0,0.0,3.5
14,Assistant data analyst,Media,CANAL+,France,for more than 3 years,Former Employee,7500000000,7501,129800.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.4
15,Assistant data engineer,Travel & Tourism,Accor,France,for more than 3 years,Current Employee,7500000000,10000,79913.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,3.9
16,Assistant data engineer,Telecommunications,Bouygues Telecom,France,for more than 3 years,Current Employee,7500000000,7501,35426.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,3.9
17,Assistant data scientist,Media,Ubisoft,France,for more than a year,Current Employee,3500000000,10000,104822.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,3.8
18,Assistant data scientist,Media,Ubisoft,France,for more than a year,Former Employee,3500000000,10000,131186.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,3.8
19,Assistant data scientist,Finance,BNP Paribas,France,for less than a year,Current Employee,7500000000,10000,135361.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,3.5
20,Assistant data scientist,Finance,BNP Paribas,France,for more than a year,Former Employee,7500000000,10000,28265.0,1.0,3.0,2.0,3.0,1.0,5.0,1.0,3.5
21,Assistant data scientist,Business Services,numberly (1000mercis group),France,for more than 3 years,Current Employee,75000000,351,40624.0,5.0,4.0,4.0,5.0,3.0,4.0,2.0,3.6
22,Assistant data scientist,Media,CANAL+,France,for more than a year,Current Employee,7500000000,7501,66220.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,3.4
23,Assistant data scientist,Finance,Groupe Crédit Agricole,France,for less than a year,Former Employee,7500000000,7501,50085.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.8
24,associate business analyst,Information Technology,Gensuite,England,for more than 3 years,Former Employee,17500000,351,145034.0,4.0,4.0,4.0,5.0,3.0,4.0,1.0,3.2
25,associate data analyst,Business Services,Comscore,USA,for less than a year,Former Employee,1500000000,3001,104244.0,4.0,3.0,5.0,4.0,3.0,2.0,1.0,2.5
26,associate data analyst,Biotech & Pharmaceuticals,Abbott TrueCare,Canada,for more than a year,Current Employee,1778515422,10000,32847.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,3.7
27,associate data analyst,Business Services,Comscore,USA,for more than 5 years,Current Employee,1500000000,3001,128322.0,5.0,4.0,4.0,5.0,4.0,4.0,0.0,2.5
28,associate data analyst,Biotech & Pharmaceuticals,Abbott,Canada,for more than 3 years,Former Employee,7447142916,10000,40531.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.6
29,associate data analyst,Biotech & Pharmaceuticals,Medtronic,Canada,for more than a year,Former Employee,7500000000,10000,10174.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.6
30,associate data engineer intern,Biotech & Pharmaceuticals,ResMed,Canada,for more than a year,Current Employee,3500000000,7501,80585.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,4.0
31,associate data engineer,Business Services,EAB,USA,for less than a year,Current Employee,311090752,3001,41427.0,5.0,4.0,1.0,3.0,1.0,4.0,3.0,3.6
32,associate data engineer,Business Services,EAB,USA,for more than a year,Current Employee,2526723715,3001,112835.0,4.0,3.0,4.0,4.0,5.0,5.0,0.0,3.6
33,associate data scientist,"Oil, Gas, Energy & Utilities",PPL,USA,for more than 10 years,Current Employee,7500000000,10000,132333.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.4
34,associate data scientist,"Oil, Gas, Energy & Utilities",PPL,USA,for more than a year,Former Employee,7500000000,10000,68230.0,4.0,4.0,5.0,4.0,5.0,5.0,1.0,2.4
35,bi analyst IV,Information Technology,TRUSTED SHOPS,Germany,for less than a year,Current Employee,5383977749,351,125255.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,3.9
36,bi analyst,Business Services,SRA Staffing Solutions,Canada,for less than a year,Current Employee,17500000,126,42009.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.8
37,bi analyst,Finance,Comdirect,Germany,for less than a year,Former Employee,300000000,3001,87441.0,5.0,4.0,1.0,2.0,2.0,3.0,2.0,3.8
38,bi analyst,Business Services,Harnham,England,for more than a year,Former Employee,37500000,126,3237.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,4.1
39,bi analyst,Retail,Canadian Tire,Canada,for more than 5 years,Current Employee,7500000000,7501,134234.0,4.0,4.0,5.0,5.0,4.0,5.0,1.0,3.6
40,bi analyst,Telecommunications,freenet,Germany,for more than a year,Former Employee,3500000000,3001,135977.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,3.2
41,bi analyst,Business Services,Morneau Shepell,Canada,for less than a year,Current Employee,750000000,7501,82620.0,5.0,4.0,5.0,5.0,4.0,5.0,0.0,3.3
42,bi analyst,Manufacturing,BRP,USA,for less than a year,Current Employee,3500000000,10000,108538.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,3.8
43,bi analyst,Insurance,2-10 Home Buyers Warranty,USA,for more than 5 years,Current Employee,300000000,751,34086.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,4.2
44,bi analyst,Information Technology,CarGurus,USA,for more than 8 years,Current Employee,750000000,751,105111.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.3
45,bi analyst,Business Services,Drakkar,Canada,for less than a year,Former Employee,300000000,751,75632.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.3
46,bi analyst,Business Services,JM Group,Canada,for more than a year,Current Employee,17500000,26,9559.0,3.0,4.0,3.0,3.0,3.0,4.0,0.0,4.4
47,bi analyst,Travel & Tourism,Carlson Wagonlit Travel,England,for more than a year,Former Employee,3500000000,10000,9605.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,3.3
48,bi analyst,Business Services,CAA South Central Ontario,England,for more than a year,Current Employee,1957251743,3001,91831.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,3.1
49,bi analyst,Travel & Tourism,Discovery Holiday Parks,Australia,for more than 5 years,Former Employee,7496787095,751,15357.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,3.6
50,bi analyst,Retail,Ocado Group,England,for less than a year,Current Employee,1500000000,10000,139897.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.5
51,bi analyst,Business Services,b.telligent,Germany,for less than a year,Former Employee,155078695,126,140772.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,4.3
52,bi analyst,Manufacturing,Volkswagen Group Services,Germany,for more than 8 years,Current Employee,300000000,10000,74312.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.5
53,bi analyst,Telecommunications,mobilcom-debitel,Germany,for less than a year,Former Employee,1500000000,3001,97417.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,3.3
54,bi analyst,Retail,Canadian Tire,Canada,for more than a year,Current Employee,7500000000,7501,95575.0,4.0,4.0,5.0,5.0,3.0,5.0,1.0,3.6
55,bi analyst,Finance,MarketInvoice,England,for more than 5 years,Former Employee,7500000,126,114176.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.1
56,bi analyst,Business Services,Process Technology Application,Germany,for more than 3 years,Current Employee,8508778426,351,114340.0,3.0,3.0,3.0,4.0,3.0,5.0,1.0,3.6
57,bi analyst,Business Services,Randstad,Canada,for more than 3 years,Current Employee,7500000000,10000,105440.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.1
58,bi analyst,Telecommunications,mobilcom-debitel,Germany,for more than 3 years,Current Employee,1500000000,3001,125088.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,3.3
59,bi analyst,Manufacturing,BRP,USA,for less than a year,Current Employee,3500000000,10000,13859.0,5.0,3.0,5.0,5.0,5.0,2.0,1.0,3.8
60,bi analyst,Retail,Ocado Group,England,for more than 3 years,Former Employee,1500000000,10000,18906.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,3.5
61,bi analyst,Business Services,Drakkar,Canada,for more than a year,Current Employee,300000000,751,20708.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,3.3
62,bi analyst,Business Services,Drakkar,Canada,for more than 10 years,Current Employee,300000000,751,21021.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,3.3
63,bi analyst,Real Estate,Ivanhoé Cambridge,Canada,for more than 3 years,Current Employee,9857720733,3001,143596.0,4.0,4.0,4.0,5.0,4.0,2.0,1.0,3.9
64,bi analyst,Biotech & Pharmaceuticals,AmerisourceBergen,Canada,for more than a year,Former Employee,7500000000,10000,51287.0,4.0,3.0,5.0,4.0,4.0,2.0,0.0,2.9
65,bi analyst,Insurance,Colorado Access,USA,for less than a year,Current Employee,37500000,751,58474.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.7
66,bi analyst,Business Services,MAXIMUS,Canada,for more than a year,Current Employee,1500000000,10000,107510.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,2.9
67,bi analyst,Finance,Idaho Central Credit Union,USA,for more than 3 years,Former Employee,75000000,3001,119999.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,4.2
68,bi analyst,Manufacturing,Cascades,Canada,for more than 8 years,Current Employee,3500000000,10000,131791.0,2.0,5.0,4.0,4.0,3.0,5.0,1.0,3.2
69,bi analyst,Manufacturing,BRP,USA,for less than a year,Current Employee,3500000000,10000,133518.0,5.0,3.0,5.0,4.0,5.0,5.0,1.0,3.8
70,bi analyst,Information Technology,CarGurus,USA,for more than 3 years,Former Employee,750000000,751,59282.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.3
71,bi analyst,"Construction, Repair & Maintenance",Air,Australia,for less than a year,Current Employee,500000,26,7098.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,3.8
72,bi analyst,Information Technology,Abrigo,USA,for more than 3 years,Current Employee,300000000,351,23199.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.3
73,bi analyst,Information Technology,Receipt Bank,England,for less than a year,Former Employee,17500000,351,126401.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.5
74,bi analyst,Information Technology,Levio,Canada,for more than a year,Current Employee,5602676079,751,136595.0,4.0,4.0,3.0,4.0,3.0,2.0,0.0,3.8
75,bi analyst,Business Services,SRA Staffing Solutions,Canada,for more than a year,Former Employee,17500000,126,140438.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.8
76,bi analyst,Health Care,Innomar Strategies,Canada,for more than a year,Current Employee,2217742110,751,99085.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.4
77,bi analyst,Travel & Tourism,Carlson Wagonlit Travel,England,for less than a year,Current Employee,3500000000,10000,144306.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.3
78,bi analyst,Information Technology,Monese,England,for less than a year,Current Employee,3466351279,351,19972.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,4.3
79,bi analyst,Information Technology,Astreya Partners,USA,for more than a year,Former Employee,75000000,3001,28791.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.4
80,bi analyst,Finance,Comdirect,Germany,for less than a year,Current Employee,300000000,3001,46245.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,3.8
81,bi analyst,Manufacturing,Volkswagen Group Services,Germany,for more than a year,Former Employee,300000000,10000,27502.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.5
82,bi analyst,Telecommunications,mobilcom-debitel,Germany,for more than a year,Current Employee,1500000000,3001,48403.0,4.0,4.0,5.0,5.0,4.0,4.0,0.0,3.3
83,bi analyst,Business Services,Randstad,Canada,for more than a year,Current Employee,7500000000,10000,91403.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,4.1
84,bi analyst,Business Services,SRA Staffing Solutions,Canada,for more than 3 years,Former Employee,17500000,126,88742.0,4.0,4.0,5.0,5.0,4.0,5.0,1.0,2.8
85,bi analyst,Retail,Canadian Tire,Canada,for more than 3 years,Current Employee,7500000000,7501,63180.0,5.0,3.0,5.0,5.0,4.0,3.0,1.0,3.6
86,bi analyst,Insurance,belairdirect,France,for more than 8 years,Former Employee,8415265574,3001,73994.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,3.1
87,bi analyst,Accounting & Legal,Weaver,USA,for more than a year,Current Employee,300000000,751,64577.0,4.0,3.0,3.0,5.0,4.0,3.0,1.0,3.7
88,bi analyst,Finance,MarketInvoice,England,for more than 3 years,Current Employee,7500000,126,146364.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,4.1
89,bi analyst,Manufacturing,Corby Distilleries,Canada,for more than 10 years,Former Employee,75000000,126,146424.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.5
90,bi analyst,Manufacturing,Nu Skin,USA,for more than a year,Current Employee,3500000000,3001,35723.0,3.0,3.0,5.0,5.0,3.0,5.0,1.0,3.7
91,bi analyst,Finance,PayByPhone,Canada,for more than 3 years,Former Employee,1345528766,351,38600.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.2
92,bi analyst,Retail,Cymax Stores,Canada,for more than a year,Current Employee,300000000,126,136990.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,3.3
93,bi analyst,Manufacturing,Nu Skin,USA,for more than 3 years,Current Employee,3500000000,3001,137072.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,3.7
94,bi analyst,Insurance,DentaQuest,USA,for more than a year,Former Employee,3500000000,3001,27336.0,5.0,3.0,3.0,5.0,4.0,4.0,0.0,3.1
95,bi analyst,Manufacturing,New Flyer,Canada,for more than a year,Former Employee,3500000000,3001,24536.0,3.0,2.0,4.0,3.0,2.0,2.0,0.0,3.2
96,bi analyst,Insurance,Swiss Life,Germany,for more than 3 years,Current Employee,10000000000,7501,24544.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,3.6
97,bi analyst,Information Technology,Mercateo,Germany,for less than a year,Current Employee,300000000,351,86062.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,3.0
98,bi analyst,Health Care,Innomar Strategies,Canada,for less than a year,Former Employee,4985647550,751,86135.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.4
99,bi analyst,Information Technology,Levio,Canada,for less than a year,Current Employee,3205790501,751,124260.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,3.8
100,business analyst consultant,Business Services,Avenir Consulting,Australia,for more than a year,Current Employee,500000,26,128861.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0
101,business analyst manager,Business Services,Eagle Professional Resources,Canada,for more than a year,Former Employee,300000000,126,136007.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0
102,business analyst manager,Business Services,Eagle Professional Resources,Canada,for less than a year,Current Employee,300000000,126,56383.0,5.0,5.0,5.0,5.0,4.0,4.0,0.0,4.0
103,business analyst manager,Information Technology,AvidXchange,USA,for more than 5 years,Current Employee,300000000,751,56555.0,2.0,2.0,5.0,2.0,2.0,3.0,1.0,3.5
104,business analyst manager,Insurance,Northbridge Financial,Canada,for more than 3 years,Current Employee,300000000,3001,4488.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.2
105,business analyst manager,Education,Durham College,Canada,for more than a year,Former Employee,37500000,351,70101.0,2.0,5.0,4.0,2.0,1.0,2.0,3.0,4.5
106,business analyst manager,Business Services,Hudson,Australia,for less than a year,Current Employee,6662391070,751,35267.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.9
107,business analyst manager,Manufacturing,Bombardier,Canada,for more than 3 years,Former Employee,7500000000,10000,137149.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,3.1
108,business analyst manager,Business Services,Accenture,Australia,for more than 5 years,Former Employee,7500000000,10000,123073.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,3.5
109,business analyst manager,Business Services,Accenture,Australia,for more than a year,Current Employee,7500000000,10000,77522.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.5
110,business analyst manager,Information Technology,TemboSocial,Canada,for more than a year,Former Employee,1678885772,26,5314.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,4.3
111,business analyst Trainee,Information Technology,Materna,Germany,for more than a year,Current Employee,300000000,3001,119168.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0,3.4
112,business analyst Trainee,Information Technology,Prodware,Germany,for more than a year,Former Employee,300000000,3001,129362.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.4
113,business analyst Trainee,Insurance,Allianz,Germany,for less than a year,Current Employee,7500000000,10000,14637.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,3.6
114,business analyst Trainee,Retail,BAUR Versand,Germany,for more than a year,Current Employee,5193323242,3001,86091.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,3.0
115,business analyst,Information Technology,TrackTik,Canada,for more than 3 years,Current Employee,7500000,126,2510.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,4.2
116,business analyst,Business Services,Experis,England,for less than a year,Current Employee,37500000,7501,2613.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,3.4
117,business analyst,Finance,Macquarie Group,Australia,for less than a year,Current Employee,7500000000,10000,2637.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,3.8
118,business analyst,Information Technology,Nominet,England,for more than 3 years,Current Employee,37500000,351,2638.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.9
119,business analyst,Business Services,ADP,England,for more than a year,Former Employee,7500000000,10000,2731.0,0.0,3.0,5.0,5.0,5.0,5.0,3.0,3.7
120,business analyst,Non-Profit,British Red Cross,England,for more than 3 years,Current Employee,6252406304,3001,7881.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,2.8
121,business analyst,Travel & Tourism,Dnata,England,for more than 3 years,Current Employee,10000000000,10000,12659.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,3.4
122,business analyst,Finance,Citicapital Commercial Corp,Australia,for more than 10 years,Current Employee,3870075194,3001,12663.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.8
123,business analyst,Media,Money Map Press,USA,for more than 10 years,Current Employee,37500000,126,12720.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,3.7
124,business analyst,Business Services,Finite IT Recruitment,Australia,for more than 3 years,Current Employee,300000000,126,12787.0,3.0,4.0,5.0,3.0,5.0,5.0,1.0,3.4
125,business analyst,Finance,Computershare,USA,for more than a year,Current Employee,3500000000,10000,17622.0,5.0,4.0,4.0,5.0,5.0,4.0,1.0,3.2
126,business analyst,Information Technology,Avaloq,USA,for more than a year,Current Employee,9377007956,3001,17687.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.7
127,business analyst,Information Technology,Dialog Information Technology,Australia,for more than 3 years,Former Employee,300000000,3001,31127.0,2.0,1.0,3.0,3.0,1.0,4.0,3.0,3.2
128,business analyst,Information Technology,Otto Group Solution Provider,Germany,for less than a year,Current Employee,3609016559,351,31165.0,4.0,3.0,3.0,4.0,4.0,5.0,1.0,5.0
129,business analyst,Manufacturing,Step2,USA,for more than a year,Current Employee,300000000,751,31181.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,3.3
130,business analyst,Biotech & Pharmaceuticals,IQVIA,England,for more than a year,Former Employee,3500000000,10000,31274.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,3.5
131,business analyst,Business Services,HH Global,England,for more than 3 years,Former Employee,750000000,3001,31334.0,3.0,4.0,4.0,4.0,3.0,5.0,0.0,3.8
132,business analyst,Retail,Freedom Furniture,Australia,for more than a year,Current Employee,9475653638,3001,41287.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.3
133,business analyst,Business Services,Thomas International,England,for less than a year,Current Employee,75000000,351,41831.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.5
134,business analyst,Information Technology,Collabware,Canada,for more than a year,Current Employee,5424249546,26,41899.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0
135,business analyst,Information Technology,ewave,Australia,for more than 3 years,Former Employee,3097875938,351,87684.0,2.0,2.0,5.0,2.0,1.0,3.0,3.0,3.4
136,business analyst,Information Technology,Webdata Solutions,Germany,for less than a year,Current Employee,2878071025,26,87829.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,-0.1
137,business analyst,Finance,Citicapital Commercial Corp,Australia,for more than 5 years,Current Employee,192935914,3001,3480.0,2.0,4.0,4.0,2.0,3.0,1.0,2.0,3.8
138,business analyst,Health Care,Cedars-Sinai Medical Center,USA,for more than 5 years,Current Employee,3500000000,10000,8267.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,3.8
139,business analyst,Business Services,Randstad,Canada,for more than 5 years,Current Employee,7500000000,10000,8415.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.1
140,business analyst,Finance,Computershare,England,for more than a year,Current Employee,3500000000,10000,8458.0,4.0,3.0,4.0,3.0,4.0,3.0,1.0,3.2
141,business analyst,Finance,Blenheim Chalcot,England,for more than 3 years,Current Employee,2047154125,126,13290.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,4.0
142,business analyst,Finance,Citicapital Commercial Corp,Australia,for less than a year,Former Employee,7786138677,3001,13331.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,3.8
143,business analyst,Business Services,IT|IQ Tech Recruiters,Canada,for more than 8 years,Current Employee,37500000,26,13501.0,4.0,3.0,3.0,3.0,2.0,4.0,0.0,3.5
144,business analyst,Business Services,EmergiTel,Canada,for more than 10 years,Current Employee,17500000,351,18475.0,4.0,4.0,3.0,4.0,3.0,2.0,0.0,3.7
145,business analyst,Finance,Citicorp North America,USA,for more than 3 years,Former Employee,75000000,7501,47273.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.4
146,business analyst,Transportation & Logistics,DP World,England,for more than a year,Current Employee,3500000000,10000,47320.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,3.5
147,business analyst,Business Services,Redrock Consulting,England,for more than 5 years,Current Employee,8898351216,126,47375.0,2.0,4.0,3.0,3.0,2.0,4.0,1.0,4.3
148,business analyst,Insurance,Intact,Canada,for more than a year,Current Employee,7500000000,10000,48553.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,3.8
149,business analyst,Information Technology,Corecom Consulting,England,for more than a year,Current Employee,4276656252,26,48573.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0
150,business analyst,Information Technology,Aptean,USA,for less than a year,Former Employee,300000000,3001,49097.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,3.3
151,business analyst,Insurance,Tokio Marine HCC,USA,for more than 10 years,Former Employee,8874784175,3001,51623.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2
152,business analyst,Retail,Shane Co.,USA,for more than 10 years,Current Employee,4345118790,751,51702.0,4.0,5.0,3.0,4.0,4.0,1.0,0.0,3.4
153,business analyst,Retail,Intersport,Germany,for less than a year,Current Employee,17500000,126,51706.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,3.4
154,business analyst,Finance,Citi,Australia,for more than 5 years,Current Employee,7500000000,10000,77778.0,5.0,3.0,4.0,5.0,3.0,4.0,1.0,3.6
155,business analyst,Business Services,FinXL,Australia,for more than 8 years,Current Employee,300000000,351,77856.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,3.4
156,business analyst,Business Services,Sirius People,Australia,for less than a year,Current Employee,1436586005,26,79825.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0
157,business analyst,Business Services,The Center for Client Retention,England,for more than 5 years,Former Employee,500000,126,79900.0,4.0,5.0,4.0,4.0,2.0,3.0,1.0,3.0
158,business analyst,Government,Department for Work And Pensions,England,for more than 8 years,Current Employee,1846375750,10000,80539.0,5.0,5.0,3.0,5.0,4.0,4.0,1.0,3.6
159,business analyst,Insurance,Coface North America Insurance,USA,for more than 5 years,Former Employee,75000000,126,80737.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.5
160,business analyst,Information Technology,Talentschmiede,Germany,for more than 3 years,Former Employee,3104116733,126,80758.0,2.0,5.0,3.0,4.0,2.0,3.0,1.0,4.7
161,business analyst,Business Services,IT|IQ Tech Recruiters,Canada,for less than a year,Former Employee,37500000,26,81101.0,4.0,4.0,5.0,5.0,4.0,5.0,1.0,3.5
162,business analyst,Manufacturing,IKO Industries,Canada,for less than a year,Former Employee,8285116473,3001,81152.0,4.0,4.0,5.0,4.0,4.0,5.0,0.0,3.5
163,business analyst,Business Services,eTeam,England,for less than a year,Former Employee,75000000,126,81156.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,4.0
164,business analyst,Information Technology,iPipeline,Canada,for more than 5 years,Current Employee,300000000,751,103671.0,3.0,5.0,5.0,4.0,3.0,5.0,1.0,3.7
