header.normalizedJobTitle,map.employerName,overview.revenue,overview.size,salary.salaries,reviews.val.reviewRatings.careerOpportunities,reviews.val.reviewRatings.compBenefits,reviews.val.reviewRatings.cultureValues,reviews.val.reviewRatings.overall,reviews.val.reviewRatings.seniorManagement,reviews.val.reviewRatings.worklifeBalance,reviews.val.summaryPoints.ceoApproval,rating.starRating,gaTrackerData.sector_Accounting & Legal,gaTrackerData.sector_Aerospace & Defense,gaTrackerData.sector_Agriculture & Forestry,"gaTrackerData.sector_Arts, Entertainment & Recreation",gaTrackerData.sector_Biotech & Pharmaceuticals,gaTrackerData.sector_Business Services,"gaTrackerData.sector_Construction, Repair & Maintenance",gaTrackerData.sector_Consumer Services,gaTrackerData.sector_Education,gaTrackerData.sector_Finance,gaTrackerData.sector_Government,gaTrackerData.sector_Health Care,gaTrackerData.sector_Information Technology,gaTrackerData.sector_Insurance,gaTrackerData.sector_Manufacturing,gaTrackerData.sector_Media,gaTrackerData.sector_Mining & Metals,gaTrackerData.sector_Non-Profit,"gaTrackerData.sector_Oil, Gas, Energy & Utilities",gaTrackerData.sector_Real Estate,"gaTrackerData.sector_Restaurants, Bars & Food Services",gaTrackerData.sector_Retail,gaTrackerData.sector_Telecommunications,gaTrackerData.sector_Transportation & Logistics,gaTrackerData.sector_Travel & Tourism,new_location_Australia,new_location_Canada,new_location_England,new_location_France,new_location_Germany,new_location_Poland,new_location_Scotland,new_location_USA,reviews.val.reviewerDuration_for less than a year,reviews.val.reviewerDuration_for more than 10 years,reviews.val.reviewerDuration_for more than 2 years,reviews.val.reviewerDuration_for more than 3 years,reviews.val.reviewerDuration_for more than 4 years,reviews.val.reviewerDuration_for more than 5 years,reviews.val.reviewerDuration_for more than 8 years,reviews.val.reviewerDuration_for more than a year,reviews.val.reviewerInformation_Current Employee,reviews.val.reviewerInformation_Former Employee
associate data analyst,Abbott,750000000,50,40531.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
associate data analyst,Medtronic,7500000000,7501,10174.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
associate data engineer intern,ResMed,3500000000,7501,80585.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
associate data engineer,EAB,300000000,751,41427.0,5.0,4.0,1.0,3.0,1.0,4.0,3.0,3.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
associate data engineer,EAB,300000000,751,112835.0,4.0,3.0,4.0,4.0,5.0,5.0,0.0,3.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
associate data scientist,PPL,7500000000,7501,132333.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
associate data scientist,PPL,7500000000,7501,68230.0,4.0,4.0,5.0,4.0,5.0,5.0,1.0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
bi analyst IV,TRUSTED SHOPS,300000000,351,125255.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
bi analyst,SRA Staffing Solutions,17500000,126,42009.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
bi analyst,Comdirect,300000000,3001,87441.0,5.0,4.0,1.0,2.0,2.0,3.0,2.0,3.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
bi analyst,Harnham,37500000,126,3237.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
bi analyst,Canadian Tire,7500000000,7501,134234.0,4.0,4.0,5.0,5.0,4.0,5.0,1.0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
bi analyst,freenet,3500000000,3001,135977.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
bi analyst,Morneau Shepell,750000000,7501,82620.0,5.0,4.0,5.0,5.0,4.0,5.0,0.0,3.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
bi analyst,BRP,3500000000,7501,108538.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
bi analyst,2-10 Home Buyers Warranty,300000000,751,34086.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
bi analyst,CarGurus,750000000,751,105111.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
bi analyst,Drakkar,300000000,751,75632.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
bi analyst,JM Group,17500000,126,9559.0,3.0,4.0,3.0,3.0,3.0,4.0,0.0,4.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
bi analyst,Carlson Wagonlit Travel,3500000000,7501,9605.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
bi analyst,CAA South Central Ontario,3000000,3001,91831.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,3.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
bi analyst,Discovery Holiday Parks,75000000,751,15357.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
bi analyst,Ocado Group,1500000000,7501,139897.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
bi analyst,b.telligent,17500000,126,140772.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,4.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
bi analyst,Volkswagen Group Services,300000000,7501,74312.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
bi analyst,mobilcom-debitel,1500000000,3001,97417.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
bi analyst,Canadian Tire,7500000000,7501,95575.0,4.0,4.0,5.0,5.0,3.0,5.0,1.0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
bi analyst,MarketInvoice,7500000,126,114176.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
bi analyst,Process Technology Application,3000000,351,114340.0,3.0,3.0,3.0,4.0,3.0,5.0,1.0,3.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
bi analyst,Randstad,7500000000,7501,105440.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
bi analyst,mobilcom-debitel,1500000000,3001,125088.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
bi analyst,BRP,3500000000,7501,13859.0,5.0,3.0,5.0,5.0,5.0,2.0,1.0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
bi analyst,Ocado Group,1500000000,7501,18906.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
bi analyst,Drakkar,300000000,751,20708.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,3.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
bi analyst,Drakkar,300000000,751,21021.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,3.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
bi analyst,Ivanhoé Cambridge,750000000,3001,143596.0,4.0,4.0,4.0,5.0,4.0,2.0,1.0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
bi analyst,AmerisourceBergen,7500000000,7501,51287.0,4.0,3.0,5.0,4.0,4.0,2.0,0.0,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
bi analyst,Colorado Access,37500000,751,58474.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
bi analyst,MAXIMUS,1500000000,7501,107510.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
bi analyst,Idaho Central Credit Union,75000000,3001,119999.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,4.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
bi analyst,Cascades,3500000000,7501,131791.0,2.0,5.0,4.0,4.0,3.0,5.0,1.0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
bi analyst,BRP,3500000000,7501,133518.0,5.0,3.0,5.0,4.0,5.0,5.0,1.0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
bi analyst,CarGurus,750000000,751,59282.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
bi analyst,Air,500000,126,7098.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
bi analyst,Abrigo,300000000,351,23199.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
bi analyst,Receipt Bank,17500000,351,126401.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
bi analyst,Levio,300000000,751,136595.0,4.0,4.0,3.0,4.0,3.0,2.0,0.0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
bi analyst,SRA Staffing Solutions,17500000,126,140438.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
bi analyst,Innomar Strategies,300000000,751,99085.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
bi analyst,Carlson Wagonlit Travel,3500000000,7501,144306.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
bi analyst,Monese,37500000,351,19972.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
bi analyst,Astreya Partners,75000000,3001,28791.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
bi analyst,Comdirect,300000000,3001,46245.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,3.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
bi analyst,Volkswagen Group Services,300000000,7501,27502.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
bi analyst,mobilcom-debitel,1500000000,3001,48403.0,4.0,4.0,5.0,5.0,4.0,4.0,0.0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
